区域,租房链接,房源名称,房屋基本信息,房屋来源,发布时间,房屋特点,最低价(元/月),最高价(元/月)
罗湖区,https://sz.zu.ke.com/zufang/SZ2040418860549029888.html,优质精装东郡复式、厅出阳台户型采光佳、带花园大露台,罗湖区-百仕达/294㎡/南/5室2厅4卫/高楼层（31层）,链家,2个月前发布,近地铁,33000,33000
罗湖区,https://sz.zu.ke.com/zufang/SZ2045279555559620608.html,整租 · 银丰大厦，东湖公园，空房大面积，可住可办公,罗湖区-新秀/188㎡/南/4室2厅2卫/低楼层（29层）,链家,1个月前发布,"近地铁,双卫生间,随时看房",8600,8600
罗湖区,https://sz.zu.ke.com/zufang/SZ2070716891470766080.html,整租 · 深业东岭 2室1厅,罗湖区-黄贝岭/72㎡/西南/2室1厅1卫/未知（39层）,无忧智寓,20天前发布,"在线签约,公寓,近地铁,精装,免中介费",7800,7800
罗湖区,https://sz.zu.ke.com/zufang/SZ2072189708922273792.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/100㎡/南/3室2厅2卫/未知（35层）,国邦,18天前发布,"公寓,近地铁,精装,免中介费,双卫生间",17500,17500
罗湖区,https://sz.zu.ke.com/zufang/SZ2072189709139836928.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/100㎡/南/3室2厅2卫/未知（35层）,国邦,18天前发布,"公寓,近地铁,精装,免中介费,双卫生间",15500,15500
罗湖区,https://sz.zu.ke.com/zufang/SZ2072189709206945792.html,整租 · 中海天钻 4室2厅,罗湖区-万象城/120㎡/南/4室2厅2卫/未知（35层）,国邦,18天前发布,"公寓,近地铁,精装,免中介费,双卫生间",16000,16000
罗湖区,https://sz.zu.ke.com/zufang/SZ2077398581438332928.html,整租 · 红桂皇冠 1室1厅,罗湖区-地王/42㎡/南/1室1厅1卫/未知（26层）,平台优选房东,11天前发布,"在线签约,近地铁,精装,免中介费",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2080124451227443200.html,整租 · 愉天小区 1室1厅,罗湖区-翠竹/43㎡/1室1厅1卫/未知（8层）,康家物业,7天前发布,"公寓,近地铁,精装,免中介费",3700,3700
罗湖区,https://sz.zu.ke.com/zufang/SZ2075049751451279360.html,广岭家园 3室2厅 8500元,罗湖区-莲塘/123㎡/东南/3室2厅2卫/中楼层（12层）,链家,14天前发布,,8500,8500
罗湖区,https://sz.zu.ke.com/zufang/SZ2077389744928997376.html,金色年华家园 2室2厅 4000元,罗湖区-莲塘/36㎡/南/2室2厅1卫/低楼层（26层）,链家,11天前发布,,4000,4000
罗湖区,https://sz.zu.ke.com/zufang/SZ2080324178061565952.html,锦缘里嘉园 1室1厅 5600元,罗湖区-新秀/48㎡/北东北/1室1厅1卫/高楼层（24层）,链家,7天前发布,近地铁,5600,5600
罗湖区,https://sz.zu.ke.com/zufang/SZ2060174667414773760.html,亚百利商住楼 3室1厅 6000元,罗湖区-黄贝岭/96㎡/南/3室1厅1卫/高楼层（7层）,链家,1个月前发布,"近地铁,随时看房",6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2061411684928724992.html,新港鸿花园 2室2厅 7500元,罗湖区-百仕达/67㎡/北/2室2厅1卫/中楼层（11层）,链家,1个月前发布,"近地铁,随时看房",7500,7500
罗湖区,https://sz.zu.ke.com/zufang/SZ2067198927647809536.html,百仕达东郡 2室1厅 8500元,罗湖区-百仕达/76㎡/东南/2室1厅1卫/低楼层（27层）,链家,25天前发布,"近地铁,随时看房",8500,8500
罗湖区,https://sz.zu.ke.com/zufang/SZ2067263310541365248.html,泰宁花园 3室2厅 7000元,罗湖区-百仕达/103㎡/南/3室2厅2卫/低楼层（25层）,链家,25天前发布,"近地铁,随时看房",7000,7000
罗湖区,https://sz.zu.ke.com/zufang/SZ2050366741938176000.html,整租 · 云景豪园 1室1厅 5000元,罗湖区-春风路/47㎡/东北/1室1厅1卫/中楼层（29层）,链家,1个月前发布,"近地铁,精装",5000,5000
罗湖区,https://sz.zu.ke.com/zufang/SZ2019359589409234944.html,百仕达优质精装复式、厅出阳台户型采光佳、近3条地铁,罗湖区-百仕达/272㎡/南/5室3厅3卫/低楼层（10层）,链家,3个月前发布,近地铁,35000,35000
罗湖区,https://sz.zu.ke.com/zufang/SZ2084725111847657472.html,整租 · 中海天钻 3室1厅,罗湖区-万象城/100㎡/东南/3室1厅1卫/未知（35层）,窝库,1天前发布,"公寓,近地铁,精装,免中介费,新上,随时看房",15000,15000
罗湖区,https://sz.zu.ke.com/zufang/SZ2083940399478472704.html,凤凰印象 1室1厅 4800元,罗湖区-螺岭/32㎡/南/1室1厅1卫/高楼层（31层）,链家,2天前发布,"近地铁,新上,随时看房",4800,4800
罗湖区,https://sz.zu.ke.com/zufang/SZ2061535696765853696.html,经典家园精装两房 红岭地铁站 高楼层 家私电齐全,罗湖区-地王/56㎡/东南/2室1厅1卫/中楼层（28层）,链家,1个月前发布,近地铁,6300,6300
罗湖区,https://sz.zu.ke.com/zufang/SZ2065845104303939584.html,大塘龙四房一厅，可做员工宿舍，价格实在,罗湖区-地王/74㎡/东南/4室1厅1卫/高楼层（7层）,链家,27天前发布,近地铁,4800,4800
罗湖区,https://sz.zu.ke.com/zufang/SZ2068591966551015424.html,鸿翔花园精装两室一厅 家电齐全随时可看,罗湖区-地王/83㎡/南/2室1厅2卫/低楼层（32层）,链家,23天前发布,近地铁,8500,8500
罗湖区,https://sz.zu.ke.com/zufang/SZ2069481945816891392.html,幸福万象 精装两居室复式 家私齐全 拎包入住,罗湖区-罗湖口岸/49㎡/东北/2室1厅2卫/中楼层（32层）,链家,22天前发布,近地铁,7500,7500
罗湖区,https://sz.zu.ke.com/zufang/SZ2077289154764881920.html,佳宁娜广场 4室1厅 14000元,罗湖区-春风路/154㎡/西南/4室1厅1卫/高楼层（31层）,链家,11天前发布,近地铁,14000,14000
罗湖区,https://sz.zu.ke.com/zufang/SZ2077460451800645632.html,世金汉宫经典精修装两房 业主诚心出租 拎包入住,罗湖区-万象城/46㎡/东南/2室1厅2卫/低楼层（23层）,链家,11天前发布,近地铁,6500,6500
罗湖区,https://sz.zu.ke.com/zufang/SZ1952038326827753472.html,乐湖精装优质三房，厅出阳台，看湖景,罗湖区-百仕达/142㎡/南/4室2厅2卫/中楼层（32层）,链家,6个月前发布,"近地铁,随时看房",17000,17000
罗湖区,https://sz.zu.ke.com/zufang/SZ1997830292861362176.html,喜荟城上 看水库 精装三房 家私家电齐全 随时看房,罗湖区-百仕达/118㎡/东北/3室1厅1卫/中楼层（34层）,链家,4个月前发布,"近地铁,随时看房",11000,11000
罗湖区,https://sz.zu.ke.com/zufang/SZ2002903023940280320.html,兰亭国际，精装修，全齐出租，高楼层景观采光好,罗湖区-莲塘/131㎡/北/3室1厅2卫/中楼层（50层）,链家,3个月前发布,随时看房,9500,9500
罗湖区,https://sz.zu.ke.com/zufang/SZ2024551390621474816.html,近地铁老街， 精装修，拎包入住,罗湖区-地王/130㎡/南/4室1厅1卫/中楼层（35层）,链家,2个月前发布,"近地铁,随时看房",11500,11500
罗湖区,https://sz.zu.ke.com/zufang/SZ2049162505519382528.html,"百仕达优质三房,主卧带大阳台采光好，近三条地铁，",罗湖区-百仕达/103㎡/南/3室2厅2卫/高楼层（9层）,链家,1个月前发布,"近地铁,随时看房",9800,9800
罗湖区,https://sz.zu.ke.com/zufang/SZ2050367020406677504.html,近仙湖 梧桐山新居 正规三房两卫,罗湖区-莲塘/86㎡/南/3室1厅2卫/高楼层（8层）,链家,1个月前发布,随时看房,4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2052756517534842880.html,喜荟城上 看水库 精装三房 家私家电齐全 随时看房,罗湖区-百仕达/118㎡/东北/3室1厅1卫/高楼层（34层）,链家,1个月前发布,"近地铁,随时看房",16000,16000
罗湖区,https://sz.zu.ke.com/zufang/SZ2078945922158428160.html,经典复式 可办公可居家 装修好 给你不一样的居住体验 复式,罗湖区-万象城/47㎡/南/2室1厅2卫/高楼层（23层）,链家,9天前发布,"近地铁,随时看房",8000,8000
罗湖区,https://sz.zu.ke.com/zufang/SZ2079403762610610176.html,都市名园方正两房改三方 花园社区 大剧院地铁站,罗湖区-万象城/82㎡/南/3室1厅1卫/高楼层（32层）,链家,8天前发布,"近地铁,随时看房",8100,8100
罗湖区,https://sz.zu.ke.com/zufang/SZ1991105441467473920.html,整租 · 京基东方华都 精装修 户型方正 采光极好,罗湖区-螺岭/69㎡/东南北/4室1厅1卫/低楼层（32层）,链家,4个月前发布,"近地铁,精装",8000,8000
罗湖区,https://sz.zu.ke.com/zufang/SZ2061472084173275136.html,环岛丽园 3室2厅 16000元,罗湖区-螺岭/144㎡/东南/3室2厅2卫/高楼层（33层）,链家,1个月前发布,近地铁,16000,16000
罗湖区,https://sz.zu.ke.com/zufang/SZ2063641252850835456.html,四季御园 4室2厅 7300元,罗湖区-莲塘/87㎡/南/4室2厅2卫/中楼层（47层）,链家,1个月前发布,,7300,7300
罗湖区,https://sz.zu.ke.com/zufang/SZ2064397753315753984.html,世界金融经典复式 欧式精装两房朝南采光好,罗湖区-万象城/46㎡/南/2室1厅2卫/中楼层（23层）,链家,29天前发布,近地铁,7500,7500
罗湖区,https://sz.zu.ke.com/zufang/SZ2077241585745272832.html,整租 · 红桂皇冠 2室1厅,罗湖区-地王/52㎡/南/2室1厅1卫/未知（26层）,平台优选房东,11天前发布,"在线签约,近地铁,精装,免中介费",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2059141257891938304.html,整租 · 中海天钻 4室2厅,罗湖区-万象城/120㎡/南/4室2厅2卫/未知（38层）,平台优选房东,1个月前发布,"在线签约,近地铁,精装,免中介费,双卫生间",19500,19500
罗湖区,https://sz.zu.ke.com/zufang/SZ2065923790814322688.html,万象城旁花园社区 大三房带阳台 家私齐全 精装修,罗湖区-万象城/115㎡/西/3室1厅2卫/中楼层（32层）,链家,27天前发布,近地铁,10000,10000
罗湖区,https://sz.zu.ke.com/zufang/SZ2066470015964037120.html,淘金山精装4房 湖景花园 家私家电齐全 5/7号线太安站,罗湖区-布心/150㎡/东南/3室1厅2卫/中楼层（32层）,链家,26天前发布,,15800,15800
罗湖区,https://sz.zu.ke.com/zufang/SZ2064315637098364928.html,整租 · 深业东岭 3室2厅,罗湖区-黄贝岭/57㎡/西南/3室2厅2卫/未知（39层）,V家公寓,29天前发布,"在线签约,公寓,近地铁,精装,免中介费,双卫生间",9300,9300
罗湖区,https://sz.zu.ke.com/zufang/SZ2064423156151484416.html,整租 · 靖轩豪苑 2室2厅,罗湖区-黄贝岭/72㎡/东/2室2厅1卫/未知（32层）,平台优选房东,29天前发布,"精装,免中介费",7300,7300
罗湖区,https://sz.zu.ke.com/zufang/SZ2065273024868777984.html,整租 · 深业东岭 3室2厅,罗湖区-黄贝岭/87㎡/西南/3室2厅2卫/未知（39层）,无忧智寓,27天前发布,"在线签约,公寓,近地铁,精装,免中介费,双卫生间",9800,9800
罗湖区,https://sz.zu.ke.com/zufang/SZ2065273025397530624.html,整租 · 深业东岭 2室2厅,罗湖区-黄贝岭/68㎡/东/2室2厅1卫/未知（39层）,无忧智寓,27天前发布,"在线签约,公寓,近地铁,精装,免中介费",7800,7800
罗湖区,https://sz.zu.ke.com/zufang/SZ2068760485398061056.html,阳光绿地家园 2室1厅 4800元,罗湖区-百仕达/51㎡/南/2室1厅1卫/低楼层（27层）,链家,23天前发布,近地铁,4800,4800
罗湖区,https://sz.zu.ke.com/zufang/SZ2065768220287041536.html,整租 · 君逸华府 2室1厅,罗湖区-布心/72㎡/东南/2室1厅1卫/未知（32层）,V家公寓,27天前发布,"在线签约,公寓,近地铁,精装,免中介费",6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ1960706766123835392.html,菁华楼一房一厅，合租，地理位置优越生活方便,罗湖区-地王/78㎡/南/1室1厅1卫/低楼层（7层）,链家,5个月前发布,近地铁,3200,3200
罗湖区,https://sz.zu.ke.com/zufang/SZ2076801940427382784.html,优质精装两房、厅出阳台、户型与采光佳、三条地铁线,罗湖区-百仕达/67㎡/北/2室1厅1卫/中楼层（18层）,链家,12天前发布,"近地铁,随时看房",5800,5800
罗湖区,https://sz.zu.ke.com/zufang/SZ2000646655799730176.html,幸福万象 精装两居室 复式 环境怡人 夜景优美 跃层,罗湖区-罗湖口岸/49㎡/北/2室1厅2卫/中楼层（32层）,链家,3个月前发布,"近地铁,随时看房",8000,8000
罗湖区,https://sz.zu.ke.com/zufang/SZ2036603433951436800.html,万科桂苑三房 户型方正 花园社区,罗湖区-地王/91㎡/东/3室2厅1卫/高楼层（7层）,链家,2个月前发布,随时看房,6800,6800
罗湖区,https://sz.zu.ke.com/zufang/SZ2038959169524211712.html,翠竹苑 2室1厅 4500元,罗湖区-百仕达/49㎡/南北/2室1厅1卫/低楼层（22层）,链家,2个月前发布,"近地铁,随时看房",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2050037378143764480.html,四季御园 3室1厅 12000元,罗湖区-莲塘/124㎡/南/3室1厅3卫/高楼层（47层）,链家,1个月前发布,随时看房,12000,12000
罗湖区,https://sz.zu.ke.com/zufang/SZ2055642804797054976.html,公路局大院 3室2厅 7000元,罗湖区-翠竹/103㎡/南/3室2厅2卫/高楼层（7层）,链家,1个月前发布,"近地铁,随时看房",7000,7000
罗湖区,https://sz.zu.ke.com/zufang/SZ2058553200222945280.html,龙屋小区 3室1厅 5600元,罗湖区-翠竹/88㎡/南/3室1厅1卫/高楼层（6层）,链家,1个月前发布,"近地铁,随时看房",5600,5600
罗湖区,https://sz.zu.ke.com/zufang/SZ2052565373496066048.html,整租 · 西湖花园 1室0厅,罗湖区-地王/15㎡/1室0厅1卫/未知（32层）,春丰公寓,1个月前发布,"在线签约,公寓,近地铁,免中介费,随时看房",1800,1800
罗湖区,https://sz.zu.ke.com/zufang/SZ2079615038116864000.html,靖轩豪苑 2室2厅 8200元,罗湖区-黄贝岭/72㎡/南/2室2厅1卫/高楼层（32层）,链家,8天前发布,随时看房,8200,8200
罗湖区,https://sz.zu.ke.com/zufang/SZ2050103921816641536.html,整租 · 和平广场大三房，简单装修，地铁口物业,罗湖区-地王/84㎡/西/3室1厅1卫/低楼层（34层）,链家,1个月前发布,"近地铁,精装",7300,7300
罗湖区,https://sz.zu.ke.com/zufang/SZ2080173572625801216.html,红桂皇冠一房，采光好 装修新，近红岭地铁站,罗湖区-地王/41㎡/东南/1室0厅1卫/中楼层（26层）,链家,7天前发布,近地铁,3800,3800
罗湖区,https://sz.zu.ke.com/zufang/SZ2081816990497898496.html,莲塘D小区 1室1厅 2100元,罗湖区-莲塘/31㎡/南/1室1厅1卫/高楼层（7层）,链家,5天前发布,新上,2100,2100
罗湖区,https://sz.zu.ke.com/zufang/SZ1943448545109745664.html,百仕达乐湖 精装三房 家私家电齐全 看房方便,罗湖区-百仕达/118㎡/南/3室2厅1卫/低楼层（34层）,链家,6个月前发布,近地铁,13800,13800
罗湖区,https://sz.zu.ke.com/zufang/SZ2019215805178454016.html,东门 天玺一号 陪读居家 大三房 家私家电齐全,罗湖区-东门/62㎡/东南/3室1厅1卫/高楼层（32层）,链家,3个月前发布,近地铁,12000,12000
罗湖区,https://sz.zu.ke.com/zufang/SZ2057726367847415808.html,整租 · 深业东岭 3室2厅,罗湖区-黄贝岭/89㎡/南/3室2厅2卫/未知（39层）,无忧智寓,1个月前发布,"在线签约,公寓,近地铁,精装,免中介费,双卫生间,随时看房",9500,9500
罗湖区,https://sz.zu.ke.com/zufang/SZ2034050545522065408.html,看房方便，地铁口，南北通透，普通装修,罗湖区-布心/88㎡/南/3室2厅1卫/高楼层（8层）,链家,2个月前发布,近地铁,5700,5700
罗湖区,https://sz.zu.ke.com/zufang/SZ2048375773475110912.html,正规两房有厅出阳台家私电齐全，拎包入住,罗湖区-黄贝岭/95㎡/南/2室1厅2卫/高楼层（35层）,链家,1个月前发布,近地铁,7000,7000
罗湖区,https://sz.zu.ke.com/zufang/SZ2050700170391732224.html,精致复式三房，背靠梧桐，拥享静逸美好生活！,罗湖区-莲塘/127㎡/东南/3室2厅3卫/低楼层（18层）,链家,1个月前发布,,8800,8800
罗湖区,https://sz.zu.ke.com/zufang/SZ2069250245543600128.html,联城美园 2室1厅 5800元,罗湖区-春风路/62㎡/西南/2室1厅1卫/低楼层（35层）,链家,22天前发布,近地铁,5800,5800
罗湖区,https://sz.zu.ke.com/zufang/SZ2067073492826210304.html,整租 · 靖轩豪苑 2室1厅,罗湖区-黄贝岭/76㎡/东南/2室1厅1卫/未知（32层）,平台优选房东,25天前发布,"在线签约,精装,免中介费",8500,8500
罗湖区,https://sz.zu.ke.com/zufang/SZ2075782558033125376.html,嘉湖新都 2室1厅 6000元,罗湖区-翠竹/58㎡/北/2室1厅1卫/高楼层（25层）,链家,13天前发布,"近地铁,随时看房",6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2076054099790667776.html,整租 · 新银座华庭 2室1厅,罗湖区-罗湖口岸/58㎡/南/2室1厅1卫/未知（31层）,林克公寓,13天前发布,"公寓,近地铁,精装,免中介费,随时看房",6950,6950
罗湖区,https://sz.zu.ke.com/zufang/SZ2076500313036570624.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/101㎡/西南/3室2厅2卫/未知（35层）,平台优选房东,12天前发布,"近地铁,精装,免中介费,双卫生间,随时看房",15000,15000
罗湖区,https://sz.zu.ke.com/zufang/SZ2073619383317700608.html,整租 · 锦上花家园 2室1厅 5000元,罗湖区-黄贝岭/49㎡/南西/2室1厅1卫/低楼层（33层）,链家,16天前发布,"近地铁,精装",5000,5000
罗湖区,https://sz.zu.ke.com/zufang/SZ2076068104294629376.html,风格名苑正规一房一厅 户型方正 大阳台家私齐全地铁口,罗湖区-地王/41㎡/东北/1室1厅1卫/低楼层（30层）,链家,13天前发布,近地铁,5800,5800
罗湖区,https://sz.zu.ke.com/zufang/SZ2076068119310778368.html,宝安南路 大三房四房 适合居家 小区带绿化,罗湖区-地王/151㎡/东南/3室2厅2卫/中楼层（22层）,链家,13天前发布,近地铁,15000,15000
罗湖区,https://sz.zu.ke.com/zufang/SZ2080990361261711360.html,旺业豪苑 装修精良两房 拎包入住 儿童公园旁,罗湖区-东门/67㎡/东/2室1厅1卫/低楼层（33层）,链家,6天前发布,"近地铁,新上",5400,5400
罗湖区,https://sz.zu.ke.com/zufang/SZ2069580513823432704.html,合租 · 红群楼 1室0厅,罗湖区-地王/28㎡/西南/1室0厅1卫/未知（6层）,玫瑰公寓,22天前发布,"独立卫生间,近地铁,精装,独立阳台,免中介费,随时看房",2980,2980
罗湖区,https://sz.zu.ke.com/zufang/SZ2039773753030230016.html,润唐山庄 3室2厅 13000元,罗湖区-银湖/181㎡/东北/3室2厅2卫/中楼层（20层）,链家,2个月前发布,,13000,13000
罗湖区,https://sz.zu.ke.com/zufang/SZ2043911232305496064.html,整租 · 深业东岭 3室2厅,罗湖区-黄贝岭/106㎡/东/3室2厅2卫/未知（26层）,无忧智寓,1个月前发布,"在线签约,公寓,近地铁,精装,免中介费,双卫生间",12000,12000
罗湖区,https://sz.zu.ke.com/zufang/SZ2045338823273226240.html,绿景山庄 3室2厅 5800元,罗湖区-布心/102㎡/南北/3室2厅1卫/高楼层（8层）,链家,1个月前发布,,5800,5800
罗湖区,https://sz.zu.ke.com/zufang/SZ2046977736949637120.html,优质精装百仕达三房、厅出大阳台户型采光佳、3条地铁,罗湖区-百仕达/104㎡/东北/3室2厅2卫/高楼层（9层）,链家,1个月前发布,近地铁,9200,9200
罗湖区,https://sz.zu.ke.com/zufang/SZ2049268408280678400.html,整租 · 深业东岭 3室1厅,罗湖区-黄贝岭/106㎡/东南/3室1厅1卫/未知（26层）,窝库,1个月前发布,"公寓,近地铁,精装,免中介费",12500,12500
罗湖区,https://sz.zu.ke.com/zufang/SZ2049695658055057408.html,世金汉宫经典精装两房一卫 采光好 办公极 佳,罗湖区-万象城/50㎡/东南/2室1厅2卫/低楼层（23层）,链家,1个月前发布,近地铁,7800,7800
罗湖区,https://sz.zu.ke.com/zufang/SZ2050463114503127040.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/120㎡/东南/3室2厅2卫/未知（36层）,平台优选房东,1个月前发布,"在线签约,近地铁,精装,免中介费,双卫生间",15000,15000
罗湖区,https://sz.zu.ke.com/zufang/SZ2051287688429961216.html,整租 · 中海天钻 4室2厅,罗湖区-万象城/120㎡/东南/4室2厅2卫/未知（35层）,平台优选房东,1个月前发布,"在线签约,近地铁,精装,免中介费,双卫生间",17500,17500
罗湖区,https://sz.zu.ke.com/zufang/SZ2052852505196363776.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/120㎡/东南/3室2厅2卫/未知（35层）,平台优选房东,1个月前发布,"在线签约,近地铁,精装,免中介费,双卫生间",17000,17000
罗湖区,https://sz.zu.ke.com/zufang/SZ2056179624362115072.html,边检站大三房精装两房 拎包入住,罗湖区-黄贝岭/103㎡/北/3室2厅2卫/低楼层（16层）,链家,1个月前发布,,7300,7300
罗湖区,https://sz.zu.ke.com/zufang/SZ2053654694206636032.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/120㎡/东南/3室2厅2卫/未知（36层）,平台优选房东,1个月前发布,"在线签约,近地铁,精装,免中介费,双卫生间",14800,14800
罗湖区,https://sz.zu.ke.com/zufang/SZ2057023144338145280.html,金色都汇 2室1厅 7500元,罗湖区-春风路/68㎡/东南/2室1厅1卫/低楼层（25层）,链家,1个月前发布,近地铁,7500,7500
罗湖区,https://sz.zu.ke.com/zufang/SZ2054293590674243584.html,整租 · 深业东岭 2室2厅,罗湖区-黄贝岭/72㎡/西南/2室2厅1卫/未知（39层）,无忧智寓,1个月前发布,"在线签约,公寓,近地铁,精装,免中介费",7800,7800
罗湖区,https://sz.zu.ke.com/zufang/SZ2054395949693796352.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/112㎡/东南/3室2厅2卫/未知（39层）,平台优选房东,1个月前发布,"在线签约,近地铁,精装,免中介费,双卫生间",15000,15000
罗湖区,https://sz.zu.ke.com/zufang/SZ2058438333251993600.html,金盾花园 3室1厅 6800元,罗湖区-螺岭/87㎡/东南/3室1厅1卫/低楼层（7层）,链家,1个月前发布,近地铁,6800,6800
罗湖区,https://sz.zu.ke.com/zufang/SZ2054803951202598912.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/120㎡/西南/3室2厅2卫/未知（36层）,窝库,1个月前发布,"公寓,近地铁,精装,免中介费,双卫生间",16000,16000
罗湖区,https://sz.zu.ke.com/zufang/SZ2078832729025150976.html,广岭家园 3室1厅 7600元,罗湖区-莲塘/97㎡/南/3室1厅1卫/中楼层（12层）,链家,9天前发布,,7600,7600
罗湖区,https://sz.zu.ke.com/zufang/SZ2056469421618102272.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/100㎡/南/3室2厅2卫/未知（35层）,平台优选房东,1个月前发布,"近地铁,精装,免中介费,双卫生间",13000,13000
罗湖区,https://sz.zu.ke.com/zufang/SZ2057722345912532992.html,整租 · 深业东岭 3室2厅,罗湖区-黄贝岭/89㎡/南/3室2厅2卫/未知（39层）,无忧智寓,1个月前发布,"在线签约,公寓,近地铁,精装,免中介费,双卫生间",9500,9500
罗湖区,https://sz.zu.ke.com/zufang/SZ2070064967704920064.html,近地铁，交通方便，距围岭山公园300米,罗湖区-布心/75㎡/南/2室1厅1卫/中楼层（11层）,链家,21天前发布,"近地铁,随时看房",5500,5500
罗湖区,https://sz.zu.ke.com/zufang/SZ2071639810225225728.html,鸿翔花园超级大三房出租，采光通风良好,罗湖区-地王/125㎡/南北/3室2厅2卫/低楼层（31层）,链家,19天前发布,"近地铁,随时看房",12500,12500
罗湖区,https://sz.zu.ke.com/zufang/SZ2074351874009735168.html,全新装修 一房一厅 客厅出大阳台 朝南 近地铁站,罗湖区-螺岭/40㎡/南/1室1厅1卫/高楼层（23层）,链家,15天前发布,"近地铁,随时看房",4200,4200
罗湖区,https://sz.zu.ke.com/zufang/SZ2074678064302006272.html,水产大厦优质办公写字楼交通方便,罗湖区-东门/96㎡/东北/1室1厅1卫/中楼层（19层）,链家,15天前发布,"近地铁,随时看房",8000,8000
罗湖区,https://sz.zu.ke.com/zufang/SZ2075344322110431232.html,精致优质三房、朝南户型采光佳、近公交总站,罗湖区-黄贝岭/98㎡/南/3室2厅1卫/中楼层（7层）,链家,14天前发布,"近地铁,随时看房",5000,5000
罗湖区,https://sz.zu.ke.com/zufang/SZ2083740705234632704.html,整租 · 靖轩豪苑 2室1厅,罗湖区-黄贝岭/72㎡/西南/2室1厅1卫/未知（32层）,平台优选房东,2天前发布,"精装,免中介费,新上,随时看房",7200,7200
罗湖区,https://sz.zu.ke.com/zufang/SZ2076751066607140864.html,东门商圈 低价三房一厅 空房可宿舍 交通便利,罗湖区-螺岭/74㎡/南/3室1厅1卫/高楼层（7层）,链家,12天前发布,"近地铁,随时看房",5500,5500
罗湖区,https://sz.zu.ke.com/zufang/SZ2063721002021421056.html,整租 · 莲馨家园唯一出租房源  唯一一套在租五房  大户型靠山,罗湖区-莲塘/112㎡/南北/5室1厅1卫/高楼层（34层）,链家,1个月前发布,精装,11000,11000
罗湖区,https://sz.zu.ke.com/zufang/SZ2076020190931591168.html,联城美园精装修一房一厅，交通便利，家电齐全,罗湖区-春风路/35㎡/南/1室1厅1卫/中楼层（35层）,链家,13天前发布,"近地铁,随时看房",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2070959927371251712.html,整租 · 东方凤雅台 1室1厅 3500元,罗湖区-莲塘/42㎡/南/1室1厅1卫/高楼层（9层）,链家,20天前发布,,3500,3500
罗湖区,https://sz.zu.ke.com/zufang/SZ2075746218331611136.html,金丽豪苑 2室1厅 5000元,罗湖区-翠竹/57㎡/东南/2室1厅1卫/高楼层（30层）,链家,13天前发布,近地铁,5000,5000
罗湖区,https://sz.zu.ke.com/zufang/SZ2076649496250687488.html,金城华庭 2室1厅 7000元,罗湖区-螺岭/65㎡/南/2室1厅1卫/中楼层（24层）,链家,12天前发布,近地铁,7000,7000
罗湖区,https://sz.zu.ke.com/zufang/SZ2076690878839128064.html,京基东方颐园小两房 双阳台 采光通风好，卧室出阳台,罗湖区-螺岭/52㎡/东南/2室1厅1卫/中楼层（33层）,链家,12天前发布,近地铁,6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2081562115126607872.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/100㎡/东南/3室2厅2卫/未知（35层）,国邦,5天前发布,"公寓,近地铁,精装,免中介费,双卫生间,新上",14800,14800
罗湖区,https://sz.zu.ke.com/zufang/SZ2071409557456035840.html,文锦渡海关生活区 2室1厅 4400元,罗湖区-春风路/81㎡/西南东北/2室1厅1卫/高楼层（8层）,链家,19天前发布,"近地铁,随时看房",4400,4400
罗湖区,https://sz.zu.ke.com/zufang/SZ2046342278401753088.html,整租 · 中海天钻 4室2厅,罗湖区-万象城/140㎡/南/4室2厅2卫/未知（35层）,平台优选房东,1个月前发布,"近地铁,精装,免中介费,双卫生间",23000,23000
罗湖区,https://sz.zu.ke.com/zufang/SZ2046342466935717888.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/120㎡/南/3室2厅2卫/未知（35层）,平台优选房东,1个月前发布,"近地铁,精装,免中介费,双卫生间",20000,20000
罗湖区,https://sz.zu.ke.com/zufang/SZ2085217391226667008.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/120㎡/南/3室2厅2卫/未知（36层）,窝库,今天发布,"公寓,近地铁,精装,免中介费,双卫生间,新上,随时看房",17000,17000
